image_id,official_split,split
COCO_train2014_000000000009,train,train
COCO_train2014_000000000089,train,train
COCO_train2014_000000000110,train,train
COCO_train2014_000000000307,train,train
COCO_train2014_000000000321,train,train
COCO_train2014_000000000332,train,train
COCO_train2014_000000000349,train,train
COCO_train2014_000000000382,train,train
COCO_train2014_000000000389,train,train
COCO_train2014_000000000419,train,train
COCO_train2014_000000000443,train,train
COCO_train2014_000000000450,train,train
COCO_train2014_000000000508,train,train
COCO_train2014_000000000510,train,train
COCO_train2014_000000000531,train,train
COCO_train2014_000000000532,train,train
COCO_train2014_000000000605,train,train
COCO_train2014_000000000716,train,train
COCO_train2014_000000000731,train,train
COCO_train2014_000000000853,train,train
COCO_train2014_000000000965,train,train
COCO_train2014_000000001011,train,train
COCO_train2014_000000001014,train,train
COCO_train2014_000000001144,train,train
COCO_train2014_000000001145,train,train
COCO_train2014_000000001261,train,train
COCO_train2014_000000001264,train,train
COCO_train2014_000000001355,train,train
COCO_train2014_000000001386,train,train
COCO_train2014_000000001403,train,train
COCO_train2014_000000001424,train,train
COCO_train2014_000000001510,train,train
COCO_train2014_000000001518,train,train
COCO_train2014_000000001523,train,train
COCO_train2014_000000001536,train,train
COCO_train2014_000000001558,train,train
COCO_train2014_000000001670,train,train
COCO_train2014_000000001756,train,train
COCO_train2014_000000001785,train,train
COCO_train2014_000000001804,train,train
COCO_train2014_000000001822,train,train
COCO_train2014_000000001926,train,train
COCO_train2014_000000001958,train,train
COCO_train2014_000000001966,train,train
COCO_train2014_000000001994,train,train
COCO_train2014_000000002007,train,train
COCO_train2014_000000002217,train,train
COCO_train2014_000000002258,train,train
COCO_train2014_000000002270,train,train
COCO_train2014_000000002281,train,train
COCO_train2014_000000002284,train,train
COCO_train2014_000000002347,train,train
COCO_train2014_000000002429,train,train
COCO_train2014_000000002448,train,train
COCO_train2014_000000002608,train,train
COCO_train2014_000000002664,train,train
COCO_train2014_000000002691,train,train
COCO_train2014_000000002697,train,train
COCO_train2014_000000002742,train,train
COCO_train2014_000000002754,train,train
COCO_train2014_000000002782,train,train
COCO_train2014_000000002842,train,train
COCO_train2014_000000002860,train,train
COCO_train2014_000000003219,train,train
COCO_train2014_000000003320,train,train
COCO_train2014_000000003366,train,train
COCO_train2014_000000003478,train,train
COCO_train2014_000000003535,train,train
COCO_train2014_000000003579,train,train
COCO_train2014_000000003671,train,train
COCO_train2014_000000003713,train,train
COCO_train2014_000000003729,train,train
COCO_train2014_000000003782,train,train
COCO_train2014_000000003860,train,train
COCO_train2014_000000003870,train,train
COCO_train2014_000000003877,train,train
COCO_train2014_000000003911,train,train
COCO_train2014_000000003915,train,train
COCO_train2014_000000003917,train,train
COCO_train2014_000000003992,train,train
COCO_train2014_000000004057,train,train
COCO_train2014_000000004065,train,train
COCO_train2014_000000004140,train,train
COCO_train2014_000000004180,train,train
COCO_train2014_000000004331,train,train
COCO_train2014_000000004385,train,train
COCO_train2014_000000004421,train,train
COCO_train2014_000000004463,train,train
COCO_train2014_000000004488,train,train
COCO_train2014_000000004578,train,train
COCO_train2014_000000004587,train,train
COCO_train2014_000000004595,train,train
COCO_train2014_000000004616,train,train
COCO_train2014_000000004622,train,train
COCO_train2014_000000004662,train,train
COCO_train2014_000000004684,train,train
COCO_train2014_000000004694,train,train
COCO_train2014_000000004714,train,train
COCO_train2014_000000004761,train,train
COCO_train2014_000000004794,train,train
COCO_train2014_000000004820,train,train
COCO_train2014_000000004823,train,train
COCO_train2014_000000004830,train,train
COCO_train2014_000000004968,train,train
COCO_train2014_000000005011,train,train
COCO_train2014_000000005018,train,train
COCO_train2014_000000005028,train,train
COCO_train2014_000000005086,train,train
COCO_train2014_000000005115,train,train
COCO_train2014_000000005156,train,train
COCO_train2014_000000005169,train,train
COCO_train2014_000000005198,train,train
COCO_train2014_000000005288,train,train
COCO_train2014_000000005383,train,train
COCO_train2014_000000005424,train,train
COCO_train2014_000000005472,train,train
COCO_train2014_000000005508,train,train
COCO_train2014_000000005574,train,train
COCO_train2014_000000005589,train,train
COCO_train2014_000000005632,train,train
COCO_train2014_000000005638,train,train
COCO_train2014_000000005643,train,train
COCO_train2014_000000005649,train,train
COCO_train2014_000000005688,train,train
COCO_train2014_000000005862,train,train
COCO_train2014_000000005917,train,train
COCO_train2014_000000006004,train,train
COCO_train2014_000000006233,train,train
COCO_train2014_000000006327,train,train
COCO_train2014_000000006465,train,train
COCO_train2014_000000006572,train,train
COCO_train2014_000000006590,train,train
COCO_train2014_000000006595,train,train
COCO_train2014_000000006709,train,train
COCO_train2014_000000006710,train,train
COCO_train2014_000000006725,train,train
COCO_train2014_000000006730,train,train
COCO_train2014_000000006747,train,train
COCO_train2014_000000006842,train,train
COCO_train2014_000000007090,train,train
COCO_train2014_000000007150,train,train
COCO_train2014_000000007220,train,train
COCO_train2014_000000007221,train,train
COCO_train2014_000000007318,train,train
COCO_train2014_000000007367,train,train
COCO_train2014_000000007539,train,train
COCO_train2014_000000007650,train,train
COCO_train2014_000000007685,train,train
COCO_train2014_000000007713,train,train
COCO_train2014_000000007781,train,train
COCO_train2014_000000007890,train,train
COCO_train2014_000000007946,train,train
COCO_train2014_000000008014,train,train
COCO_train2014_000000008064,train,train
COCO_train2014_000000008321,train,train
COCO_train2014_000000008356,train,train
COCO_train2014_000000008422,train,train
COCO_train2014_000000008553,train,train
COCO_train2014_000000008559,train,train
COCO_train2014_000000008587,train,train
COCO_train2014_000000008733,train,train
COCO_train2014_000000008734,train,train
COCO_train2014_000000008776,train,train
COCO_train2014_000000008848,train,train
COCO_train2014_000000008856,train,train
COCO_train2014_000000008936,train,train
COCO_train2014_000000009012,train,train
COCO_train2014_000000009057,train,train
COCO_train2014_000000009119,train,train
COCO_train2014_000000009148,train,train
COCO_train2014_000000009425,train,train
COCO_train2014_000000009460,train,train
COCO_train2014_000000009462,train,train
COCO_train2014_000000009479,train,train
COCO_train2014_000000009511,train,train
COCO_train2014_000000009615,train,train
COCO_train2014_000000009656,train,train
COCO_train2014_000000009708,train,train
COCO_train2014_000000009712,train,train
COCO_train2014_000000009760,train,train
COCO_train2014_000000009789,train,train
COCO_train2014_000000009843,train,train
COCO_train2014_000000009866,train,train
COCO_train2014_000000009919,train,train
COCO_train2014_000000010046,train,train
COCO_train2014_000000010083,train,train
COCO_train2014_000000010175,train,train
COCO_train2014_000000010176,train,train
COCO_train2014_000000010229,train,train
COCO_train2014_000000010230,train,train
COCO_train2014_000000010346,train,train
